# radius         dens           pres           temp        c12          ne20          ne22
4670
2.226946805854712e+07  3.480255206155416e+09  2.556057469600673e+27  6.985128800663911e+08  1.419722426490100e-01  2.872665482373049e-01  0.000000000000000e+00
2.239458281290483e+07  3.469458542476901e+09  2.545445273669592e+27  6.974148802299677e+08  1.419725886069982e-01  2.872660785568548e-01  2.442490654175344e-15
2.260655591070503e+07  3.454905099402275e+09  2.531158177266676e+27  6.959326847082738e+08  1.419730535845305e-01  2.872654475656615e-01  2.442490654175344e-15
2.271147987941893e+07  3.441275567106657e+09  2.517796506030215e+27  6.945405111967287e+08  1.419734872293525e-01  2.872648595303636e-01  2.442490654175344e-15
2.281571582006907e+07  3.432235216992954e+09  2.508943709895506e+27  6.936160263740951e+08  1.419737741510755e-01  2.872644706004768e-01  0.000000000000000e+00
2.296217792903626e+07  3.421370048650301e+09  2.498314404289716e+27  6.925036460329971e+08  1.419741181907815e-01  2.872640044191009e-01  0.000000000000000e+00
2.310732809655822e+07  3.408727924484870e+09  2.485961087381814e+27  6.912067484411914e+08  1.419745172944231e-01  2.872634639101041e-01  0.000000000000000e+00
2.323160050606063e+07  3.397035753067947e+09  2.474549819214307e+27  6.900051042113247e+08  1.419748853015463e-01  2.872629657787528e-01  2.442490654175344e-15
2.335494633681920e+07  3.386267985777719e+09  2.464052506451050e+27  6.888967980642924e+08  1.419752233232695e-01  2.872625084445693e-01  0.000000000000000e+00
2.347738785090524e+07  3.375565699682973e+09  2.453630221442027e+27  6.877934248878472e+08  1.419755584348334e-01  2.872620552554522e-01  0.000000000000000e+00
2.357069268890112e+07  3.366168035340801e+09  2.444487641779566e+27  6.868230040576909e+08  1.419758519772397e-01  2.872616584647464e-01  0.000000000000000e+00
2.366348762594779e+07  3.358046745005326e+09  2.436593750362962e+27  6.859834393491412e+08  1.419761051546041e-01  2.872613163575022e-01  2.442490654175344e-15
2.377179288294166e+07  3.349258481719055e+09  2.428058840247321e+27  6.850738718159876e+08  1.419763786016966e-01  2.872609469912717e-01  0.000000000000000e+00
2.387942218503224e+07  3.339817090499238e+09  2.418898069651536e+27  6.840953069534973e+08  1.419766717439456e-01  2.872605511858817e-01  0.000000000000000e+00
2.398638939612804e+07  3.330424972812008e+09  2.409793795522971e+27  6.831204449879061e+08  1.419769627325067e-01  2.872601584521449e-01  0.000000000000000e+00
2.409270795074815e+07  3.321081407631812e+09  2.400745197877990e+27  6.821492582535168e+08  1.419772516062342e-01  2.872597687355285e-01  0.000000000000000e+00
2.431919666802001e+07  3.306434939375405e+09  2.386578448664300e+27  6.806252014418786e+08  1.419777033633698e-01  2.872591595297197e-01  0.000000000000000e+00
2.443137670727627e+07  3.291609099722004e+09  2.372259730887764e+27  6.790770025767336e+08  1.419781588969838e-01  2.872585457862444e-01  0.000000000000000e+00
2.448720725851285e+07  3.284234886852076e+09  2.365145861539837e+27  6.783059169971906e+08  1.419783849616950e-01  2.872582413459637e-01  0.000000000000000e+00
2.454286729604989e+07  3.279331192843005e+09  2.360418277433393e+27  6.777928504576111e+08  1.419785351120441e-01  2.872580391851809e-01  0.000000000000000e+00
2.466829413799737e+07  3.271346798707943e+09  2.352725743830176e+27  6.769569620742667e+08  1.419787792975695e-01  2.872577104913459e-01  0.000000000000000e+00
2.479287549663059e+07  3.260337047362944e+09  2.342128813777912e+27  6.758022785871872e+08  1.419791152723335e-01  2.872572584753947e-01  2.442490654175344e-15
2.490156244221000e+07  3.250060605695846e+09  2.332248568456923e+27  6.747226200042005e+08  1.419794281586425e-01  2.872568377406877e-01  0.000000000000000e+00
2.500962529550685e+07  3.240501173216115e+09  2.323067130205448e+27  6.737168548656317e+08  1.419797186257327e-01  2.872564473313077e-01  0.000000000000000e+00
2.511707631548435e+07  3.230990174395848e+09  2.313941250734058e+27  6.727147297182449e+08  1.419800070557383e-01  2.872560598376062e-01  2.442490654175344e-15
2.522392740146790e+07  3.221526946933292e+09  2.304870168132291e+27  6.717161957523569e+08  1.419802934842601e-01  2.872556752097613e-01  2.442490654175344e-15
2.537429557208586e+07  3.210147985690483e+09  2.293974591718117e+27  6.705138551142588e+08  1.419806372088145e-01  2.872552138554313e-01  0.000000000000000e+00
2.544904655075141e+07  3.200214908550863e+09  2.284474047606146e+27  6.694618496145641e+08  1.419809365500166e-01  2.872548123370074e-01  0.000000000000000e+00
2.552351409962493e+07  3.193614643162665e+09  2.278166658904844e+27  6.687622131465077e+08  1.419811351618103e-01  2.872545460187482e-01  0.000000000000000e+00
2.567161435059626e+07  3.183746623007522e+09  2.268744670050693e+27  6.677152775886029e+08  1.419814316730133e-01  2.872541485585986e-01  0.000000000000000e+00
2.581862513427738e+07  3.170681224678098e+09  2.256284835642955e+27  6.663260004262615e+08  1.419818233370177e-01  2.872536238982594e-01  2.442490654175344e-15
2.590460431240093e+07  3.160377056314255e+09  2.246470433073643e+27  6.652279238802481e+08  1.419821315067507e-01  2.872532113591124e-01  2.442490654175344e-15
2.599022182707103e+07  3.152773143606541e+09  2.239234941561095e+27  6.644167734429885e+08  1.419823585583814e-01  2.872529075303664e-01  0.000000000000000e+00
2.618580002378658e+07  3.140272193988294e+09  2.227352607700767e+27  6.630819667514368e+08  1.419827312041265e-01  2.872524090719675e-01  2.442490654175344e-15
2.628290187974798e+07  3.127325097065667e+09  2.215063081801461e+27  6.616950380472610e+08  1.419831161093874e-01  2.872518946847532e-01  0.000000000000000e+00
2.637955619406555e+07  3.118729524089303e+09  2.206913592938014e+27  6.607732236594940e+08  1.419833711887024e-01  2.872515539533028e-01  2.442490654175344e-15
2.653393169196344e+07  3.107573722205595e+09  2.196348074385904e+27  6.595753653365128e+08  1.419837016883806e-01  2.872511126797150e-01  0.000000000000000e+00
2.661070258548483e+07  3.097334320919778e+09  2.186661710003478e+27  6.584731432419651e+08  1.419840044038911e-01  2.872507088032747e-01  0.000000000000000e+00
2.668720062082594e+07  3.090530261613451e+09  2.180231116818034e+27  6.577400453936845e+08  1.419842052809323e-01  2.872504408976338e-01  0.000000000000000e+00
2.683939281018582e+07  3.080357190834923e+09  2.170625337713956e+27  6.566429211784433e+08  1.419845052130076e-01  2.872500410342204e-01  0.000000000000000e+00
2.691509342539099e+07  3.070256792930541e+09  2.161098712454133e+27  6.555508963620968e+08  1.419848024262244e-01  2.872496450938697e-01  0.000000000000000e+00
2.699053506297047e+07  3.063544616235498e+09  2.154773664911711e+27  6.548245156860237e+08  1.419849996777471e-01  2.872493824195281e-01  0.000000000000000e+00
2.708758469310077e+07  3.055879717396569e+09  2.147556541064840e+27  6.539942162264105e+08  1.419852246627915e-01  2.872490829269548e-01  2.442490654175344e-15
2.718421488800029e+07  3.047277562020064e+09  2.139464148728779e+27  6.530610067091480e+08  1.419854768125184e-01  2.872487474388033e-01  2.442490654175344e-15
2.735711453338424e+07  3.035283646200247e+09  2.128193801473434e+27  6.517582188690429e+08  1.419858278226739e-01  2.872482806464558e-01  0.000000000000000e+00
2.744307469631240e+07  3.023810565182129e+09  2.117426812606224e+27  6.505083248632860e+08  1.419861628958394e-01  2.872478354465546e-01  0.000000000000000e+00
2.752871488572246e+07  3.016189065444283e+09  2.110281944004922e+27  6.496771802594078e+08  1.419863851660750e-01  2.872475402568218e-01  0.000000000000000e+00
2.764241204248013e+07  3.007330023798204e+09  2.101984535715533e+27  6.487098828544275e+08  1.419866432006468e-01  2.872471977244671e-01  0.000000000000000e+00
2.775555898124843e+07  2.997256352217370e+09  2.092559452320761e+27  6.476080910492954e+08  1.419869361743850e-01  2.872468090468370e-01  0.000000000000000e+00
